"Region","Region_name","sub_region","Sub_region_name","SSP","RCP","Year","UHI_cat","Heat_wave_days","HI_cat","Population","Sensitive_pop"
142,"Asia",35,"South-Eastern Asia","SSP 2","RCP 2.6",2010,"With UHI",15,""">42 & <=55""",57901647,8340806.17
142,"Asia",35,"South-Eastern Asia","SSP 2","RCP 2.6",2010,"With UHI",15,""">55""",0,0
142,"Asia",145,"Western Asia","SSP 2","RCP 2.6",2010,"With UHI",15,"""<=28""",9635974,1631221.866
142,"Asia",145,"Western Asia","SSP 2","RCP 2.6",2010,"With UHI",15,""">28 & <=34""",76911526,12291692.15
142,"Asia",145,"Western Asia","SSP 2","RCP 2.6",2010,"With UHI",15,""">34 & <=42""",55728618,9143279.645
142,"Asia",145,"Western Asia","SSP 2","RCP 2.6",2010,"With UHI",15,""">42 & <=55""",12835255,1295429.978
142,"Asia",145,"Western Asia","SSP 2","RCP 2.6",2010,"With UHI",15,""">55""",0,0
142,"Asia",143,"Central Asia","SSP 2","RCP 2.6",2030,"With UHI",15,"""<=28""",2835605,471830.4576
142,"Asia",143,"Central Asia","SSP 2","RCP 2.6",2030,"With UHI",15,""">28 & <=34""",25156935,4279321.013
142,"Asia",143,"Central Asia","SSP 2","RCP 2.6",2030,"With UHI",15,""">34 & <=42""",9946708,1609113.751
142,"Asia",143,"Central Asia","SSP 2","RCP 2.6",2030,"With UHI",15,""">42 & <=55""",0,0
142,"Asia",143,"Central Asia","SSP 2","RCP 2.6",2030,"With UHI",15,""">55""",0,0
142,"Asia",30,"Eastern Asia","SSP 2","RCP 2.6",2030,"With UHI",15,"""<=28""",27027167,5524984.315
142,"Asia",30,"Eastern Asia","SSP 2","RCP 2.6",2030,"With UHI",15,""">28 & <=34""",101294418,21473958.16
142,"Asia",30,"Eastern Asia","SSP 2","RCP 2.6",2030,"With UHI",15,""">34 & <=42""",335653452,80086032.3
142,"Asia",30,"Eastern Asia","SSP 2","RCP 2.6",2030,"With UHI",15,""">42 & <=55""",539909861,115302950.3
142,"Asia",30,"Eastern Asia","SSP 2","RCP 2.6",2030,"With UHI",15,""">55""",0,0
142,"Asia",34,"Southern Asia","SSP 2","RCP 2.6",2030,"With UHI",15,"""<=28""",11033146,1886354.889
142,"Asia",34,"Southern Asia","SSP 2","RCP 2.6",2030,"With UHI",15,""">28 & <=34""",42770955,6802841.772
142,"Asia",34,"Southern Asia","SSP 2","RCP 2.6",2030,"With UHI",15,""">34 & <=42""",137304255,22135044.15
142,"Asia",34,"Southern Asia","SSP 2","RCP 2.6",2030,"With UHI",15,""">42 & <=55""",724504572,114371042.4
142,"Asia",34,"Southern Asia","SSP 2","RCP 2.6",2030,"With UHI",15,""">55""",10965584,1751167.815
142,"Asia",35,"South-Eastern Asia","SSP 2","RCP 2.6",2030,"With UHI",15,"""<=28""",4245,670.5719113
142,"Asia",35,"South-Eastern Asia","SSP 2","RCP 2.6",2030,"With UHI",15,""">28 & <=34""",8072667,1335640.712
142,"Asia",35,"South-Eastern Asia","SSP 2","RCP 2.6",2030,"With UHI",15,""">34 & <=42""",225006213,37898194.81
142,"Asia",35,"South-Eastern Asia","SSP 2","RCP 2.6",2030,"With UHI",15,""">42 & <=55""",144393949,25844746.62
142,"Asia",35,"South-Eastern Asia","SSP 2","RCP 2.6",2030,"With UHI",15,""">55""",0,0
142,"Asia",145,"Western Asia","SSP 2","RCP 2.6",2030,"With UHI",15,"""<=28""",7840291,1320306.12
142,"Asia",145,"Western Asia","SSP 2","RCP 2.6",2030,"With UHI",15,""">28 & <=34""",83650862,14440716.49
142,"Asia",145,"Western Asia","SSP 2","RCP 2.6",2030,"With UHI",15,""">34 & <=42""",107246876,17817442.22
142,"Asia",145,"Western Asia","SSP 2","RCP 2.6",2030,"With UHI",15,""">42 & <=55""",42231502,5470795.295
142,"Asia",145,"Western Asia","SSP 2","RCP 2.6",2030,"With UHI",15,""">55""",92949,13459.50811
142,"Asia",143,"Central Asia","SSP 2","RCP 2.6",2070,"With UHI",15,"""<=28""",3274234,878218.0971
142,"Asia",143,"Central Asia","SSP 2","RCP 2.6",2070,"With UHI",15,""">28 & <=34""",26726058,7176470.436
142,"Asia",143,"Central Asia","SSP 2","RCP 2.6",2070,"With UHI",15,""">34 & <=42""",20516930,5720139.24
142,"Asia",143,"Central Asia","SSP 2","RCP 2.6",2070,"With UHI",15,""">42 & <=55""",0,0
142,"Asia",143,"Central Asia","SSP 2","RCP 2.6",2070,"With UHI",15,""">55""",0,0
142,"Asia",30,"Eastern Asia","SSP 2","RCP 2.6",2070,"With UHI",15,"""<=28""",26184624,10117519.34
142,"Asia",30,"Eastern Asia","SSP 2","RCP 2.6",2070,"With UHI",15,""">28 & <=34""",98578303,39290569.57
142,"Asia",30,"Eastern Asia","SSP 2","RCP 2.6",2070,"With UHI",15,""">34 & <=42""",246948763,95336817.9
142,"Asia",30,"Eastern Asia","SSP 2","RCP 2.6",2070,"With UHI",15,""">42 & <=55""",576692243,238092349.7
142,"Asia",30,"Eastern Asia","SSP 2","RCP 2.6",2070,"With UHI",15,""">55""",0,0
142,"Asia",34,"Southern Asia","SSP 2","RCP 2.6",2070,"With UHI",15,"""<=28""",22244192,4267860.16
142,"Asia",34,"Southern Asia","SSP 2","RCP 2.6",2070,"With UHI",15,""">28 & <=34""",57504039,17820633.09
142,"Asia",34,"Southern Asia","SSP 2","RCP 2.6",2070,"With UHI",15,""">34 & <=42""",172464691,46177191.46
142,"Asia",34,"Southern Asia","SSP 2","RCP 2.6",2070,"With UHI",15,""">42 & <=55""",1343175387,357361919.4
142,"Asia",34,"Southern Asia","SSP 2","RCP 2.6",2070,"With UHI",15,""">55""",15829742,4275516.627
142,"Asia",35,"South-Eastern Asia","SSP 2","RCP 2.6",2070,"With UHI",15,"""<=28""",26055,6439.195274
142,"Asia",35,"South-Eastern Asia","SSP 2","RCP 2.6",2070,"With UHI",15,""">28 & <=34""",7347416,2164738.458
142,"Asia",35,"South-Eastern Asia","SSP 2","RCP 2.6",2070,"With UHI",15,""">34 & <=42""",281782901,84216029.43
142,"Asia",35,"South-Eastern Asia","SSP 2","RCP 2.6",2070,"With UHI",15,""">42 & <=55""",218057919,66587131.08
142,"Asia",35,"South-Eastern Asia","SSP 2","RCP 2.6",2070,"With UHI",15,""">55""",491980,184950.6808
142,"Asia",145,"Western Asia","SSP 2","RCP 2.6",2070,"With UHI",15,"""<=28""",9056058,1811792.697
142,"Asia",145,"Western Asia","SSP 2","RCP 2.6",2070,"With UHI",15,""">28 & <=34""",113869177,30913420.79
142,"Asia",145,"Western Asia","SSP 2","RCP 2.6",2070,"With UHI",15,""">34 & <=42""",171895293,44418789.2
142,"Asia",145,"Western Asia","SSP 2","RCP 2.6",2070,"With UHI",15,""">42 & <=55""",75184691,21108594.08
142,"Asia",145,"Western Asia","SSP 2","RCP 2.6",2070,"With UHI",15,""">55""",263497,73416.40724
142,"Asia",143,"Central Asia","SSP 2","RCP 2.6",2100,"With UHI",15,"""<=28""",3352786,1176077.409
142,"Asia",143,"Central Asia","SSP 2","RCP 2.6",2100,"With UHI",15,""">28 & <=34""",36450366,12865039.16
142,"Asia",143,"Central Asia","SSP 2","RCP 2.6",2100,"With UHI",15,""">34 & <=42""",10582849,3692245.428
142,"Asia",143,"Central Asia","SSP 2","RCP 2.6",2100,"With UHI",15,""">42 & <=55""",0,0
142,"Asia",143,"Central Asia","SSP 2","RCP 2.6",2100,"With UHI",15,""">55""",0,0
142,"Asia",30,"Eastern Asia","SSP 2","RCP 2.6",2100,"With UHI",15,"""<=28""",17827683,7783330.981
142,"Asia",30,"Eastern Asia","SSP 2","RCP 2.6",2100,"With UHI",15,""">28 & <=34""",63705814,28701257.3
142,"Asia",30,"Eastern Asia","SSP 2","RCP 2.6",2100,"With UHI",15,""">34 & <=42""",180592645,77717259.15
142,"Asia",30,"Eastern Asia","SSP 2","RCP 2.6",2100,"With UHI",15,""">42 & <=55""",481260696,222635404.5
142,"Asia",30,"Eastern Asia","SSP 2","RCP 2.6",2100,"With UHI",15,""">55""",0,0
142,"Asia",34,"Southern Asia","SSP 2","RCP 2.6",2100,"With UHI",15,"""<=28""",28862763,7138941.43
142,"Asia",34,"Southern Asia","SSP 2","RCP 2.6",2100,"With UHI",15,""">28 & <=34""",60290612,21112104.91
142,"Asia",34,"Southern Asia","SSP 2","RCP 2.6",2100,"With UHI",15,""">34 & <=42""",227099671,75175306.18
142,"Asia",34,"Southern Asia","SSP 2","RCP 2.6",2100,"With UHI",15,""">42 & <=55""",1419507453,484957230.7
142,"Asia",34,"Southern Asia","SSP 2","RCP 2.6",2100,"With UHI",15,""">55""",2531557,871869.4818
142,"Asia",35,"South-Eastern Asia","SSP 2","RCP 2.6",2100,"With UHI",15,"""<=28""",29231,9828.823066
142,"Asia",35,"South-Eastern Asia","SSP 2","RCP 2.6",2100,"With UHI",15,""">28 & <=34""",8340241,3035926.914
142,"Asia",35,"South-Eastern Asia","SSP 2","RCP 2.6",2100,"With UHI",15,""">34 & <=42""",273413515,103098947.7
142,"Asia",35,"South-Eastern Asia","SSP 2","RCP 2.6",2100,"With UHI",15,""">42 & <=55""",210254628,79154443.96
142,"Asia",35,"South-Eastern Asia","SSP 2","RCP 2.6",2100,"With UHI",15,""">55""",467842,214250.7854
142,"Asia",145,"Western Asia","SSP 2","RCP 2.6",2100,"With UHI",15,"""<=28""",10388952,2860602.35
142,"Asia",145,"Western Asia","SSP 2","RCP 2.6",2100,"With UHI",15,""">28 & <=34""",84524585,31169799.28
142,"Asia",145,"Western Asia","SSP 2","RCP 2.6",2100,"With UHI",15,""">34 & <=42""",236471336,79754799.91
142,"Asia",145,"Western Asia","SSP 2","RCP 2.6",2100,"With UHI",15,""">42 & <=55""",64758524,25326737.88
142,"Asia",145,"Western Asia","SSP 2","RCP 2.6",2100,"With UHI",15,""">55""",275112,104359.4368
142,"Asia",143,"Central Asia","SSP 3","RCP 2.6",2010,"With UHI",15,"""<=28""",4897829,808121.3804
142,"Asia",143,"Central Asia","SSP 3","RCP 2.6",2010,"With UHI",15,""">28 & <=34""",18236741,2809366.511
142,"Asia",143,"Central Asia","SSP 3","RCP 2.6",2010,"With UHI",15,""">34 & <=42""",2350726,338228.6074
142,"Asia",143,"Central Asia","SSP 3","RCP 2.6",2010,"With UHI",15,""">42 & <=55""",0,0
142,"Asia",143,"Central Asia","SSP 3","RCP 2.6",2010,"With UHI",15,""">55""",0,0
142,"Asia",30,"Eastern Asia","SSP 3","RCP 2.6",2010,"With UHI",15,"""<=28""",35062254,5323239.144
142,"Asia",30,"Eastern Asia","SSP 3","RCP 2.6",2010,"With UHI",15,""">28 & <=34""",131335634,19448774.56
142,"Asia",30,"Eastern Asia","SSP 3","RCP 2.6",2010,"With UHI",15,""">34 & <=42""",359227331,59622172.39
142,"Asia",30,"Eastern Asia","SSP 3","RCP 2.6",2010,"With UHI",15,""">42 & <=55""",253902635,36345645.83
142,"Asia",30,"Eastern Asia","SSP 3","RCP 2.6",2010,"With UHI",15,""">55""",0,0
142,"Asia",34,"Southern Asia","SSP 3","RCP 2.6",2010,"With UHI",15,"""<=28""",5502150,941184.8113
142,"Asia",34,"Southern Asia","SSP 3","RCP 2.6",2010,"With UHI",15,""">28 & <=34""",34547531,4997467.484
142,"Asia",34,"Southern Asia","SSP 3","RCP 2.6",2010,"With UHI",15,""">34 & <=42""",140858318,21316716.14
142,"Asia",34,"Southern Asia","SSP 3","RCP 2.6",2010,"With UHI",15,""">42 & <=55""",360041950,55788050.37
142,"Asia",34,"Southern Asia","SSP 3","RCP 2.6",2010,"With UHI",15,""">55""",0,0
142,"Asia",35,"South-Eastern Asia","SSP 3","RCP 2.6",2010,"With UHI",15,"""<=28""",0,0
142,"Asia",35,"South-Eastern Asia","SSP 3","RCP 2.6",2010,"With UHI",15,""">28 & <=34""",14805741,2186643.446
142,"Asia",35,"South-Eastern Asia","SSP 3","RCP 2.6",2010,"With UHI",15,""">34 & <=42""",176361907,26098190.52
142,"Asia",35,"South-Eastern Asia","SSP 3","RCP 2.6",2010,"With UHI",15,""">42 & <=55""",57902638,8340928.326
142,"Asia",35,"South-Eastern Asia","SSP 3","RCP 2.6",2010,"With UHI",15,""">55""",0,0
142,"Asia",145,"Western Asia","SSP 3","RCP 2.6",2010,"With UHI",15,"""<=28""",9640071,1632002.634
142,"Asia",145,"Western Asia","SSP 3","RCP 2.6",2010,"With UHI",15,""">28 & <=34""",76909964,12291483.17
142,"Asia",145,"Western Asia","SSP 3","RCP 2.6",2010,"With UHI",15,""">34 & <=42""",55727918,9143113.235
142,"Asia",145,"Western Asia","SSP 3","RCP 2.6",2010,"With UHI",15,""">42 & <=55""",12838309,1295987.435
142,"Asia",145,"Western Asia","SSP 3","RCP 2.6",2010,"With UHI",15,""">55""",0,0
142,"Asia",143,"Central Asia","SSP 3","RCP 2.6",2030,"With UHI",15,"""<=28""",2343637,401707.777
142,"Asia",143,"Central Asia","SSP 3","RCP 2.6",2030,"With UHI",15,""">28 & <=34""",23216824,4066000.256
142,"Asia",143,"Central Asia","SSP 3","RCP 2.6",2030,"With UHI",15,""">34 & <=42""",8671538,1452340.16
142,"Asia",143,"Central Asia","SSP 3","RCP 2.6",2030,"With UHI",15,""">42 & <=55""",0,0
142,"Asia",143,"Central Asia","SSP 3","RCP 2.6",2030,"With UHI",15,""">55""",0,0
